create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-01-01 02:30:00,BTCUSDT,94620.3240000000000000,8322304613.1707820000000000,3.04468014,2.46798300,2.68508969,0.74082800
2026-01-01 02:35:00,BTCUSDT,94623.2500000000000000,8323500194.5620110000000000,3.04176053,2.46748100,2.68392529,0.73405500
2026-01-01 02:40:00,BTCUSDT,94628.7820000000000000,8320557395.2088000000000000,3.03907749,2.46891000,2.68184566,0.65699300
2026-01-01 02:45:00,BTCUSDT,94640.9650000000000000,8318921895.3070000000000000,3.04451113,2.47274400,2.68243961,1.10164100
2026-01-01 02:50:00,BTCUSDT,94646.4040000000000000,8316937992.0489640000000000,3.03892265,2.47193100,2.67645214,0.53884000
2026-01-01 02:55:00,BTCUSDT,94638.9580000000000000,8317306968.2468000000000000,3.03363406,2.47597100,2.67215169,1.35173100
2026-01-01 03:00:00,BTCUSDT,94632.4460000000000000,8317056414.0480000000000000,3.03087471,2.47555200,2.66693131,0.53158500
2026-01-01 03:05:00,BTCUSDT,94637.9690000000000000,8318346242.2085000000000000,3.03090856,2.47899400,2.66648230,1.10651600
2026-01-01 03:10:00,BTCUSDT,94643.1630000000000000,8325331003.0572420000000000,3.02187630,2.48241800,2.66006823,2.19475300
2026-01-01 03:15:00,BTCUSDT,94628.7610000000000000,8326619649.7752500000000000,3.02087570,2.48596700,2.66010858,1.94707800
2026-01-01 03:20:00,BTCUSDT,94631.4940000000000000,8318032617.4048000000000000,3.02087137,2.48554400,2.66100555,0.21114600
2026-01-01 03:25:00,BTCUSDT,94632.8530000000000000,8318808214.7897415000000000,3.01907685,2.48815000,2.65863377,1.83005200
2026-01-01 03:30:00,BTCUSDT,94633.4220000000000000,8318683527.0535950000000000,3.01866213,2.48885100,2.65677621,1.76632300
2026-01-01 03:35:00,BTCUSDT,94624.7500000000000000,8318253679.6468140000000000,3.01753659,2.48790400,2.65698386,1.81365600
2026-01-01 03:40:00,BTCUSDT,94621.4430000000000000,8317959895.3404620000000000,3.01728569,2.48814800,2.65693728,1.21043600
2026-01-01 03:45:00,BTCUSDT,94613.8660000000000000,8315309918.3688000000000000,3.01562176,2.48870500,2.65589335,0.36892900
2026-01-01 03:50:00,BTCUSDT,94597.0180000000000000,8309444246.1427320000000000,3.01574934,2.48909600,2.65302504,0.39619500
2026-01-01 03:55:00,BTCUSDT,94551.3550000000000000,8303215046.3835990000000000,3.01479486,2.48949000,2.65241872,0.43242200
2026-01-01 04:00:00,BTCUSDT,94552.6900000000000000,8299986412.5040000000000000,3.00939842,2.49025500,2.64427010,0.51262100
2026-01-01 04:05:00,BTCUSDT,94523.5890000000000000,8288189525.2785500000000000,3.00430285,2.48990200,2.63969006,0.41382600
2026-01-01 04:10:00,BTCUSDT,94455.5440000000000000,8276742607.4352000000000000,3.00824358,2.49224800,2.63973402,0.46539100
2026-01-01 04:15:00,BTCUSDT,94423.1140000000000000,8265704976.4460000000000000,3.01177934,2.49525200,2.63866753,0.57067900
2026-01-01 04:20:00,BTCUSDT,94455.1920000000000000,8274979093.5382550000000000,3.01806478,2.49640300,2.64285372,2.27128300
2026-01-01 04:25:00,BTCUSDT,94500.0110000000000000,8278730163.6616000000000000,3.01884756,2.49826300,2.64557993,1.82481800
2026-01-01 04:30:00,BTCUSDT,94554.5630000000000000,8281679437.3385370000000000,3.02555897,2.49856900,2.64921228,0.56046900
2026-01-01 04:35:00,BTCUSDT,94572.6500000000000000,8283791764.4817980000000000,3.02471135,2.49883700,2.64936930,0.86992200
2026-01-01 04:40:00,BTCUSDT,94602.4760000000000000,8280393900.0708000000000000,3.03261367,2.50233900,2.65546742,0.73847300
2026-01-01 04:45:00,BTCUSDT,94698.5120000000000000,8294301751.4368000000000000,3.02532066,2.50414600,2.64921679,3.79818400
2026-01-01 04:50:00,BTCUSDT,94707.2250000000000000,8293538672.4564620000000000,3.02794502,2.50483100,2.65152276,0.72189000
2026-01-01 04:55:00,BTCUSDT,94733.4090000000000000,8295520425.9030000000000000,3.02995306,2.50633400,2.65245580,1.29918100
2026-01-01 05:00:00,BTCUSDT,94761.7410000000000000,8305345409.0745000000000000,3.04085117,2.50803000,2.66038911,2.57644300
2026-01-01 05:05:00,BTCUSDT,94776.4320000000000000,8310215543.5536000000000000,3.05048227,2.50778000,2.67247018,2.62904300
2026-01-01 05:10:00,BTCUSDT,94791.8090000000000000,8310359978.3064000000000000,3.05380566,2.50800800,2.67601059,1.18963000
2026-01-01 05:15:00,BTCUSDT,94803.3250000000000000,8313561940.5987420000000000,3.05753470,2.50741300,2.68056358,1.89287500
2026-01-01 05:20:00,BTCUSDT,94812.9170000000000000,8312879609.1621680000000000,3.06164212,2.50751100,2.68349398,0.85904600
2026-01-01 05:25:00,BTCUSDT,94811.4960000000000000,8313087834.4033480000000000,3.06252354,2.50774800,2.68511736,1.78946000
2026-01-01 05:30:00,BTCUSDT,94814.2150000000000000,8315349122.1030820000000000,3.06915050,2.51066100,2.68981571,1.38932100
2026-01-01 05:35:00,BTCUSDT,94816.7310000000000000,8312363472.9976720000000000,3.06987174,2.51087500,2.69107535,0.95049400
2026-01-01 05:40:00,BTCUSDT,94822.6830000000000000,8313516315.3371730000000000,3.07045264,2.51062300,2.69078852,0.72953100
2026-01-01 05:45:00,BTCUSDT,94823.5840000000000000,8313577507.0519620000000000,3.07237201,2.51081400,2.69282906,0.73300200
2026-01-01 05:50:00,BTCUSDT,94822.6910000000000000,8313550986.6177000000000000,3.07244068,2.51132800,2.69295877,1.38500400
2026-01-01 05:55:00,BTCUSDT,94825.4690000000000000,8313794546.9343000000000000,3.07264115,2.51148900,2.69328157,0.92084200
2026-01-01 06:00:00,BTCUSDT,94845.0290000000000000,8312524099.9408300000000000,3.07483649,2.50844000,2.69454695,0.39601300
2026-01-01 06:05:00,BTCUSDT,94835.6280000000000000,8308482984.1404000000000000,3.07631667,2.50886400,2.69377621,0.51649400
2026-01-01 06:10:00,BTCUSDT,94779.6000000000000000,8304958192.4400000000000000,3.07639413,2.50542400,2.69202419,1.03513400
2026-01-01 06:15:00,BTCUSDT,94771.6100000000000000,8304030625.6150000000000000,3.07869458,2.50636300,2.69297295,0.82275200
2026-01-01 06:20:00,BTCUSDT,94776.6240000000000000,8305300730.6324290000000000,3.07838121,2.50618500,2.69378463,2.70129300
2026-01-01 06:25:00,BTCUSDT,94770.1020000000000000,8304956629.4251110000000000,3.08085089,2.50625900,2.69651250,0.96283600
2026-01-01 06:30:00,BTCUSDT,94769.2520000000000000,8306217864.8216320000000000,3.08290656,2.50707400,2.69814368,3.69871100
2026-01-01 06:35:00,BTCUSDT,94772.6980000000000000,8306523707.0664000000000000,3.08323190,2.50749400,2.69847429,1.15044500
2026-01-01 06:40:00,BTCUSDT,94795.1130000000000000,8306952629.2578000000000000,3.08699122,2.50496300,2.70132626,0.32437500
2026-01-01 06:45:00,BTCUSDT,94793.8030000000000000,8306847312.5521000000000000,3.08501973,2.50508600,2.70017836,1.27043400
2026-01-01 06:50:00,BTCUSDT,94798.7900000000000000,8306842988.3379380000000000,3.08564951,2.50550000,2.69986265,0.37003800
2026-01-01 06:55:00,BTCUSDT,94791.2610000000000000,8305761954.8376000000000000,3.08586304,2.50566900,2.69996627,1.98862700
2026-01-01 07:00:00,BTCUSDT,94784.7400000000000000,8305019961.8520000000000000,3.08888516,2.50668500,2.70112533,1.93189500
